,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
124,37.843666633,0.162000020345,0.660348613599,0.844089029596,0.8,0,0.05,6,0.8,"{'subsample': 0.8, 'learning_rate': 0.05, 'colsample_bytree': 0.8, 'max_depth': 6, 'gamma': 0}",54,0.681796932555,0.848268836883,0.664534610257,0.834305901155,0.634711658192,0.84969235075,0.249453190397,0.00454602825949,0.0194492202001,0.00694208419731
125,36.924333334,0.168333292007,0.659754205531,0.84744765101,0.8,0,0.05,6,0.9,"{'subsample': 0.9, 'learning_rate': 0.05, 'colsample_bytree': 0.8, 'max_depth': 6, 'gamma': 0}",58,0.676484822375,0.85054059749,0.664274472391,0.840167592971,0.638501262676,0.851634762569,0.205201235274,0.00188565000489,0.0158328511915,0.00516712254493
126,45.6366666953,0.180333296458,0.664205680465,0.87315639805,0.8,0,0.05,7,0.7,"{'subsample': 0.7, 'learning_rate': 0.05, 'colsample_bytree': 0.8, 'max_depth': 7, 'gamma': 0}",27,0.685419448714,0.87677590367,0.664447682282,0.865606833388,0.642747299473,0.877086457091,0.228245994423,0.00169965908175,0.0174218509748,0.00533985366796
127,44.7129999002,0.18066684405,0.665443783383,0.878216930826,0.8,0,0.05,7,0.8,"{'subsample': 0.8, 'learning_rate': 0.05, 'colsample_bytree': 0.8, 'max_depth': 7, 'gamma': 0}",18,0.686404687933,0.881188819058,0.669972572817,0.872061530017,0.639951509595,0.881400443404,0.245095958073,0.00309120493126,0.0192330793481,0.00435338301875
128,42.9173333645,0.182000001272,0.664552998556,0.882432102583,0.8,0,0.05,7,0.9,"{'subsample': 0.9, 'learning_rate': 0.05, 'colsample_bytree': 0.8, 'max_depth': 7, 'gamma': 0}",23,0.684314884269,0.886536880746,0.665323804772,0.875920994649,0.644017874396,0.884838432355,0.418127060315,0.00571546505399,0.0164603798251,0.00465596940391
129,59.1673333645,0.210666656494,0.662937313245,0.926728927142,0.8,0,0.05,9,0.7,"{'subsample': 0.7, 'learning_rate': 0.05, 'colsample_bytree': 0.8, 'max_depth': 9, 'gamma': 0}",39,0.68233216295,0.928886498277,0.660074933902,0.921338009453,0.646402455826,0.929962273696,0.104199642014,0.00449697538903,0.0148073656387,0.00383717068828
130,58.1673332055,0.208000103633,0.664459789426,0.933245270546,0.8,0,0.05,9,0.8,"{'subsample': 0.8, 'learning_rate': 0.05, 'colsample_bytree': 0.8, 'max_depth': 9, 'gamma': 0}",26,0.682530818573,0.936353785361,0.668044647466,0.927381137673,0.642801678114,0.936000888604,0.322992636693,0.00355905841836,0.0164163953666,0.00414907016063
131,56.9816667239,0.211333274841,0.660907831313,0.938171956188,0.8,0,0.05,9,0.9,"{'subsample': 0.9, 'learning_rate': 0.05, 'colsample_bytree': 0.8, 'max_depth': 9, 'gamma': 0}",53,0.681921688963,0.939793315169,0.663051271122,0.933663183945,0.637747947533,0.941059369449,0.82391507813,0.00543648818841,0.018097613123,0.00322980842666
132,31.872999986,0.143333276113,0.202614786529,0.270612464417,0.8,0,0.01,5,0.7,"{'subsample': 0.7, 'learning_rate': 0.01, 'colsample_bytree': 0.8, 'max_depth': 5, 'gamma': 0}",133,0.182721928071,0.279560782192,0.216659353455,0.242732035621,0.208465526414,0.289544575438,0.0565921094528,0.00339939609273,0.0144594814011,0.0201313646545
133,31.2336667379,0.146666606267,0.203077677576,0.272270343724,0.8,0,0.01,5,0.8,"{'subsample': 0.8, 'learning_rate': 0.01, 'colsample_bytree': 0.8, 'max_depth': 5, 'gamma': 0}",132,0.186727136066,0.283002130241,0.213086419529,0.242766611048,0.209421489506,0.291042289882,0.226056541513,0.00478429081822,0.0116586912808,0.0211189286834
